"","Species","TG","Elytra","Second.Antenna","Third.Antenna"
"1","oleracea",189,245,137,163
"2","oleracea",192,260,132,217
"3","oleracea",217,276,141,192
"4","oleracea",221,299,142,213
"5","oleracea",171,239,128,158
"6","oleracea",192,262,147,173
"7","oleracea",213,278,136,201
"8","oleracea",192,255,128,185
"9","oleracea",170,244,128,192
"10","oleracea",201,276,146,186
"11","oleracea",195,242,128,192
"12","oleracea",205,263,147,192
"13","oleracea",180,252,121,167
"14","oleracea",192,283,138,183
"15","oleracea",200,294,138,188
"16","oleracea",192,277,150,177
"17","oleracea",200,287,136,173
"18","oleracea",181,255,146,183
"19","oleracea",192,287,141,198
"20","carduorum",181,305,184,209
"21","carduorum",158,237,133,188
"22","carduorum",184,300,166,231
"23","carduorum",171,273,162,213
"24","carduorum",181,297,163,224
"25","carduorum",181,308,160,223
"26","carduorum",177,301,166,221
"27","carduorum",198,308,141,197
"28","carduorum",180,286,146,214
"29","carduorum",177,299,171,192
"30","carduorum",176,317,166,213
"31","carduorum",192,312,166,209
"32","carduorum",176,285,141,200
"33","carduorum",169,287,162,214
"34","carduorum",164,265,147,192
"35","carduorum",181,308,157,204
"36","carduorum",192,276,154,209
"37","carduorum",181,278,149,235
"38","carduorum",175,271,140,192
"39","carduorum",197,303,170,205
